기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20241,11110515,청운효자동,CS100010,커피-음료,4562109055,333432,2786429042,1775680013,479022606,467247278,699645014,491454499,649059645,977150232,798529781,2365440,272394614,1265523981,1654557986,1097047929,270219105,1342240808,2854860415,13966284,1116673187,1288685456,737504880,561668089,478603322,210630,122802,37701,38501,43937,39951,50540,68330,54472,43,40970,105328,120817,64270,2004,103293,217507,1123,86676,108192,48619,50113,26078
20241,11110530,사직동,CS100010,커피-음료,11526147981,1140119,8588778123,2937369858,1400983797,1770593763,1782286344,1846079471,1788834748,1666981532,1270388326,89082593,1560857828,4643211632,2974502341,1812147360,446346227,4031957597,6131273601,45838266,2364321308,3475726873,2118707189,1395068709,763568866,918188,221931,160072,184724,195297,193897,184198,121981,99950,994,275424,462836,249625,140204,11036,430482,623586,6621,247767,364491,224580,142310,68306
20241,11110540,삼청동,CS100010,커피-음료,6977136227,398476,3905584060,3071552167,885554069,592013056,734941132,787807705,905268098,1661120189,1410431978,300348,410729119,2536381617,2443680322,1511695640,74349181,2654279416,3691230585,28788903,1197887592,1717919523,1368996177,1160225596,871692202,227466,171010,45296,38077,43658,45360,55075,93713,77297,52,31219,141774,147299,74232,3900,150442,226212,2505,85392,113760,72553,60520,41935
20241,11110550,부암동,CS100010,커피-음료,574377314,47424,323195550,251181764,53697420,54794198,65353886,70716140,78633906,139225613,111956151,4498902,35332776,179716912,255703474,82611489,16513761,228418847,342664290,8605771,142350650,142602773,93706186,117092099,66725657,34651,12773,6323,7170,7719,7018,6421,6950,5823,114,7257,17128,16772,5258,895,19775,27538,1571,17046,8692,6608,9574,3823
20241,11110560,평창동,CS100010,커피-음료,137164599,9564,84548855,52615744,16536946,15101697,18403411,15384331,19122470,27129801,25485943,0,6031056,43413793,44448369,38025499,5245882,61300030,61700357,261423,7093488,21428100,23469513,40044482,30703385,6428,3136,1328,1319,1201,1136,1444,1701,1435,0,567,2940,3473,2227,357,4528,4187,49,531,1391,1910,2511,2321
20241,11110570,무악동,CS100010,커피-음료,59568383,7167,44945994,14622389,8740081,8523698,9782253,9621396,8278566,9229028,5393361,0,8593801,19662102,17929532,13372913,10035,20286504,32979633,282566,5075257,10882331,9240373,17108500,10677115,5447,1720,1047,1138,1225,1044,993,1083,637,0,1089,2196,2203,1678,1,2474,4237,66,592,1175,1241,2253,1383
20241,11110580,교남동,CS100010,커피-음료,173867192,24468,168937160,4930032,28975053,32841970,36344319,39651382,31124436,3388113,1541919,0,76644137,59970836,35868070,1384149,0,76085001,81986830,41273,26983118,66733045,32807606,13732683,17774104,23980,488,4274,4799,5197,5462,4248,370,118,0,13002,7059,4247,160,0,10828,12629,3,4586,10272,4462,1982,2151
20241,11110600,가회동,CS100010,커피-음료,3315253382,339081,2320741260,994512122,369003062,438277735,476692251,516855442,519912770,554785908,439726214,717405,541376369,1181023209,1088921082,426087101,77128216,1131352485,1675154492,10597091,691764352,924542571,536584711,414189833,228828417,259184,79897,43578,51397,55169,54949,54091,44197,35700,84,97402,115438,92905,31092,2160,142010,165358,1652,68131,108502,65795,41866,21424
20241,11110615,종로1·2·3·4가동,CS100010,커피-음료,21213537420,2228832,16449807871,4763729549,2900257868,3173588048,3448900153,3471936645,3455125157,2926631406,1837098143,50735757,2617523648,8294826010,5155670453,4057484852,1037296700,8172102119,9384238720,70036142,3173151765,4871634942,3636378154,3201012144,2604127702,1844251,384581,325680,369685,393357,387829,367700,232697,151884,2207,548967,849045,476172,308870,43571,995628,1006629,8457,391011,621748,410188,343381,227475
20241,11110630,종로5·6가동,CS100010,커피-음료,2401905722,340163,2005997054,395908668,381106921,428761088,420654315,400507954,374966776,255956758,139951910,549509,491268762,1066511066,558754418,260749346,24072621,926587523,916567007,7612202,288994854,526949900,379195011,332144291,308258260,286350,53813,50412,59417,62775,57839,55907,34025,19788,14,108579,128609,73868,27913,1180,160404,144105,1378,48262,90044,65385,58032,41410
