동별(1),동별(2),동별(3),2024 사업체수_합계,2024 총 종사자수_합계,2024여성종사자수_합계,2024 개인사업체_소계,2024개인사업체_여성종사자수,2024_회사법인_소계,2024_회사법인_여성종사자수,2024_회사이외의 법인_소계,2024_회사이외의 법인_여성종사자수,2024_비법인단체_소계,2024_비법인단체_여성종사자수,Unnamed: 14,Unnamed: 15,행정동코드
합계,소계,소계,1176066,5772456,2646208,1582595,793909,3140470,1235724,911417,501201,137974,115374,,,
합계,종로구,소계,46830,265635,124405,67338,32560,135520,57478,60257,32512,2520,1855,,,
합계,종로구,사직동,5016,56858,27260,10256,5734,33476,15375,12836,5950,290,201,,,11110530.0
합계,종로구,삼청동,957,4754,2460,1046,618,1568,923,2123,909,17,10,,,11110540.0
합계,종로구,부암동,930,4068,2255,1075,564,705,356,2163,1246,125,89,,,11110550.0
합계,종로구,평창동,1376,4291,2325,1658,925,1312,554,1022,616,299,230,,,11110560.0
합계,종로구,무악동,850,2238,1226,1523,706,360,256,189,128,166,136,,,11110570.0
합계,종로구,교남동,603,7886,4133,902,558,3648,1171,3243,2329,93,75,,,11110580.0
합계,종로구,가회동,987,8518,3357,1160,651,5686,1781,1625,883,47,42,,,11110600.0
합계,종로구,종로1.2.3.4가동,16401,108640,47082,22343,10196,70096,29189,15742,7434,459,263,,,
합계,종로구,종로5.6가동,7022,19891,7700,9917,4069,8227,2789,1647,787,100,55,,,
합계,종로구,이화동,1953,17755,10792,2404,1222,3353,1534,11738,7821,260,215,,,11110640.0
합계,종로구,창신1동,2385,4956,2454,3284,1472,1166,639,470,317,36,26,,,11110670.0
합계,종로구,창신2동,1067,2015,1044,1618,814,178,79,109,56,110,95,,,11110680.0
합계,종로구,창신3동,382,1187,662,468,216,120,27,493,340,106,79,,,11110690.0
합계,종로구,숭인1동,742,1775,995,1206,656,222,97,164,75,183,167,,,11110700.0
합계,종로구,숭인2동,2300,5952,2876,3229,1474,1841,999,843,378,39,25,,,11110710.0
합계,종로구,청운효자동,1542,5623,3124,1850,977,1367,698,2326,1387,80,62,,,11110515.0
합계,종로구,혜화동,2317,9228,4660,3399,1708,2195,1011,3524,1856,110,85,,,11110650.0
합계,중구,소계,67098,399960,180578,89876,45186,253401,107258,54133,26425,2550,1709,,,
합계,중구,소공동,5061,70838,31613,5420,3101,57494,24704,7786,3721,138,87,,,11140520.0
합계,중구,회현동,8336,57888,22670,10461,6051,42506,14454,4604,2022,317,143,,,11140540.0
합계,중구,명동,8689,113512,53026,10586,6204,82087,36765,20507,9824,332,233,,,11140550.0
합계,중구,필동,3670,25094,11715,5130,2144,13217,6357,6614,3155,133,59,,,11140570.0
합계,중구,장충동,999,8382,3692,1283,595,5585,2514,1406,490,108,93,,,11140580.0
합계,중구,광희동,8851,32713,15527,12187,5455,15518,7000,4857,3001,151,71,,,11140590.0
합계,중구,을지로동,8868,30179,10980,13408,4562,15581,5853,1046,488,144,77,,,11140605.0
합계,중구,신당5동,1634,4013,2124,2633,1396,704,275,554,346,122,107,,,11140650.0
합계,중구,황학동,2551,5494,2527,3379,1465,1748,806,231,143,136,113,,,11140670.0
합계,중구,중림동,1325,8193,4311,1751,931,5186,2562,1102,698,154,120,,,11140680.0
합계,중구,신당동,11088,22393,11900,14946,8828,4351,1969,2883,1013,213,90,,,11140615.0
합계,중구,다산동,2269,8241,3867,2964,1420,4478,1915,642,397,157,135,,,11140625.0
합계,중구,약수동,1300,4287,2261,2159,1262,1227,485,731,369,170,145,,,11140635.0
합계,중구,청구동,1175,4665,2059,1557,732,2260,766,675,415,173,146,,,11140645.0
합계,중구,동화동,1282,4068,2306,2012,1040,1459,833,495,343,102,90,,,11140665.0
합계,용산구,소계,27854,157564,71485,33069,16598,91293,38581,29095,14211,4107,2095,,,
합계,용산구,후암동,1342,5194,2355,1620,831,2749,1011,746,446,79,67,,,11170510.0
합계,용산구,용산2가동,798,2166,1090,1064,464,513,232,472,292,117,102,,,11170520.0
합계,용산구,남영동,2142,19708,9243,3030,1616,13996,6532,2536,992,146,103,,,11170530.0
합계,용산구,원효로2동,1346,5343,2323,1270,531,3438,1350,447,286,188,156,,,11170570.0
합계,용산구,효창동,766,2611,1172,909,470,1060,301,565,336,77,65,,,11170580.0
합계,용산구,용문동,969,2188,1047,1269,609,687,273,134,78,98,87,,,11170590.0
합계,용산구,이촌1동,1534,4122,2253,2005,1235,688,292,1055,596,374,130,,,11170630.0
합계,용산구,이촌2동,549,1115,505,565,224,201,60,204,97,145,124,,,11170640.0
합계,용산구,이태원1동,1864,7049,3393,2373,1090,2529,1157,2085,1096,62,50,,,11170650.0
합계,용산구,이태원2동,1120,3050,1399,1216,574,1572,674,218,122,44,29,,,11170660.0
합계,용산구,서빙고동,769,4809,2010,687,300,2189,706,1673,827,260,177,,,11170690.0
합계,용산구,보광동,714,1400,633,867,410,160,57,346,147,27,19,,,11170700.0
합계,용산구,청파동,2500,11496,6121,3203,1543,4205,1762,3835,2586,253,230,,,11170555.0
합계,용산구,원효로1동,2215,9837,4019,2454,1155,5812,2144,1359,556,212,164,,,11170560.0
합계,용산구,한강로동,6084,55730,23029,6902,3456,37514,15633,9452,3450,1862,490,,,11170625.0
합계,용산구,한남동,3142,21746,10893,3635,2090,13980,6397,3968,2304,163,102,,,11170685.0
합계,성동구,소계,39264,201023,89541,49760,23341,119926,48934,27582,14194,3755,3072,,,
합계,성동구,왕십리2동,1217,2619,1361,1796,900,462,193,236,157,125,111,,,11200520.0
합계,성동구,마장동,3911,12829,4393,4927,1697,5069,1232,2376,1121,457,343,,,11200540.0
합계,성동구,사근동,1265,11126,5964,2097,1024,1076,491,7877,4403,76,46,,,11200550.0
합계,성동구,행당1동,1640,10704,6019,2802,1610,3293,1627,4273,2468,336,314,,,11200560.0
합계,성동구,행당2동,1024,2339,1420,1386,788,333,207,413,254,207,171,,,11200570.0
합계,성동구,응봉동,655,1108,509,701,322,76,18,273,122,58,47,,,11200580.0
합계,성동구,금호1가동,914,2156,1273,1190,633,282,129,429,273,255,238,,,11200590.0
합계,성동구,금호4가동,989,2219,1201,1428,763,378,167,298,174,115,97,,,11200620.0
합계,성동구,성수1가1동,2783,14291,6623,3024,1284,9805,4526,1353,731,109,82,,,11200650.0
합계,성동구,성수1가2동,4764,27551,11994,5339,2544,20975,8708,1103,648,134,94,,,11200660.0
합계,성동구,성수2가1동,3169,17197,6285,3742,1553,12016,4209,1190,302,249,221,,,11200670.0
합계,성동구,성수2가3동,7509,63465,27383,8531,3692,53074,22716,1501,738,359,237,,,11200690.0
합계,성동구,송정동,947,2799,1205,1222,491,872,274,646,387,59,53,,,11200720.0
합계,성동구,용답동,2368,13004,4353,2948,1269,6566,2016,3207,828,283,240,,,11200790.0
합계,성동구,왕십리도선동,3165,9832,5319,4625,2542,3437,1546,1450,982,320,249,,,11200535.0
합계,성동구,금호2.3가동,1489,2943,1721,1997,1089,251,99,315,191,380,342,,,
합계,성동구,옥수동,1455,4841,2518,2005,1140,1961,776,642,415,233,187,,,11200645.0
합계,광진구,소계,33295,125475,59239,48229,24330,45074,16381,28845,15657,3327,2871,,,
합계,광진구,화양동,3152,16382,8125,5674,2878,3132,1338,7471,3826,105,83,,,11215710.0
